[2024-10-10 23:48:29.580] [multi_sink] [info] Action: Join | Nickname: aa | Result: Success
[2024-10-10 23:48:29.913] [multi_sink] [info] Action: Login | Nickname: aa | Result: Success
[2024-10-10 23:48:29.920] [multi_sink] [info] Action: Spawn | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (100, 100, 500, Yaw: 50) | Result: Success
[2024-10-10 23:48:29.928] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (100, 100, 500, Yaw: 0) | Result: Success
[2024-10-10 23:48:29.937] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (100, 100, 500, Yaw: 0) | Result: Success
[2024-10-10 23:48:30.019] [multi_sink] [info] Action: Spawn | Entity: CREATURE_TYPE_MONSTER (ObjectId: 2) | Nickname: StrongMonster | Position: (0, 0, 88, Yaw: 20) | Result: Success
[2024-10-10 23:48:30.112] [multi_sink] [info] Action: Spawn | Entity: CREATURE_TYPE_MONSTER (ObjectId: 3) | Nickname: EliteMonster | Position: (1000, 500, 88, Yaw: 40) | Result: Success
[2024-10-10 23:48:30.142] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (100, 100, 479.41977, Yaw: 0) | Result: Success
[2024-10-10 23:48:30.221] [multi_sink] [info] Action: Spawn | Entity: CREATURE_TYPE_MONSTER (ObjectId: 4) | Nickname: WeakMonster | Position: (2000, 1000, 88, Yaw: 60) | Result: Success
[2024-10-10 23:48:30.315] [multi_sink] [info] Action: Spawn | Entity: CREATURE_TYPE_MONSTER (ObjectId: 5) | Nickname: NormalMonster | Position: (3000, 1500, 88, Yaw: 80) | Result: Success
[2024-10-10 23:48:30.342] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (100, 100, 419.38074, Yaw: 0) | Result: Success
[2024-10-10 23:48:30.550] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (100, 100, 316.02942, Yaw: 0) | Result: Success
[2024-10-10 23:48:30.636] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (100.05947, 100.00131, 260.71585, Yaw: 1.2605343) | Result: Success
[2024-10-10 23:48:30.645] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (100.24619, 100.00542, 254.21756, Yaw: 1.2605343) | Result: Success
[2024-10-10 23:48:30.846] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (140.95587, 119.87123, 113.23961, Yaw: 1.2605343) | Result: Success
[2024-10-10 23:48:31.051] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (239.27646, 141.56046, 101.65, Yaw: 1.2605343) | Result: Success
[2024-10-10 23:48:31.256] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (341.90433, 145.46637, 101.65, Yaw: 1.2605343) | Result: Success
[2024-10-10 23:48:31.384] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (405.2238, 146.9725, 101.65, Yaw: 1.2605343) | Result: Success
[2024-10-10 23:48:31.585] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (505.53552, 157.32205, 101.65, Yaw: 18.935534) | Result: Success
[2024-10-10 23:48:31.611] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (517.1004, 160.34305, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:31.619] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (519.84436, 161.06781, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:31.820] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:32.021] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:32.223] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:32.426] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:32.628] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:33.089] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:33.423] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:33.755] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:34.088] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:34.422] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:34.623] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:34.826] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.39667, 163.3267, 101.65, Yaw: 0) | Result: Success
[2024-10-10 23:48:34.844] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.5222, 163.43315, 101.65, Yaw: 40.285534) | Result: Success
[2024-10-10 23:48:34.852] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (528.74744, 163.62405, 101.65, Yaw: 40.285534) | Result: Success
[2024-10-10 23:48:34.963] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (542.1162, 174.9558, 107.44942, Yaw: 40.285534) | Result: Success
[2024-10-10 23:48:35.114] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (577.4243, 204.88391, 200.7134, Yaw: 40.285534) | Result: Success
[2024-10-10 23:48:35.122] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (579.7366, 206.84384, 205.21207, Yaw: 40.285534) | Result: Success
[2024-10-10 23:48:35.328] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (648.85504, 264.95352, 294.58478, Yaw: 31.010534) | Result: Success
[2024-10-10 23:48:35.384] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (670.6136, 282.5446, 311.76553, Yaw: 0) | Result: Success
[2024-10-10 23:48:35.394] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (674.1707, 285.38583, 314.27066, Yaw: 0) | Result: Success
[2024-10-10 23:48:35.595] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (753.3607, 348.63864, 349.00327, Yaw: 0) | Result: Success
[2024-10-10 23:48:35.799] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (833.1818, 412.3956, 343.26392, Yaw: 0) | Result: Success
[2024-10-10 23:48:35.825] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (843.1936, 420.42334, 339.65063, Yaw: 114.88554) | Result: Success
[2024-10-10 23:48:35.834] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (846.4036, 423.0798, 338.3386, Yaw: 114.88554) | Result: Success
[2024-10-10 23:48:36.003] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (904.3426, 484.02158, 297.19342, Yaw: 159.88553) | Result: Success
[2024-10-10 23:48:36.080] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (925.7734, 515.6773, 268.76917, Yaw: -112.21446) | Result: Success
[2024-10-10 23:48:36.148] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (942.1572, 541.7635, 239.37694, Yaw: -112.389465) | Result: Success
[2024-10-10 23:48:36.199] [multi_sink] [info] Action: Move | Entity: CREATURE_TYPE_PLAYER (ObjectId: 1) | Nickname: aa | Position: (961.06757, 544.71375, 253.69585, Yaw: -67.389465) | Result: Success
